brkQ,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,runtime,parity,genseed,errmetrics,rmse,mae,PredictMethod,L,int_fraction,nints,numnonints,r,barytol,inttol,nnMax,nn_mae,nn_rmse,barytype,barypars
1,avg,0.0001,0,15-Oct-2020 16:43:17,20000,10000,12,ff65e3f,b6d0f6ed,5dof,5dof,1,0.001558,,1129626394,,0.129708005662843,0.096475370443325,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:39:45,388,10000,12,ff65e3f,0e3bb722,5dof,5dof,1,0.001214,,1129608057,,0.128442312559364,0.0952345048738506,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:40:15,388,10000,12,ff65e3f,68dc4d77,5dof,5dof,1,0.001882,,1129611817,,0.128442312559364,0.0952345048738506,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:40:13,388,10000,12,ff65e3f,aaba942e,5dof,5dof,1,0.001537,,1129610853,,0.128442312559364,0.0952345048738506,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:39:16,388,10000,12,ff65e3f,53325f35,5dof,5dof,1,0.004298,,1129605276,,0.128442312559364,0.0952345048738506,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:41:37,388,10000,12,ff65e3f,471fa2cb,5dof,5dof,1,0.00101,,1129619385,,0.128442312559364,0.0952345048738506,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:41:54,388,10000,12,ff65e3f,06479834,5dof,5dof,1,0.001903,,1129620912,,0.128442312559364,0.0952345048738506,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:40:10,388,10000,12,ff65e3f,3463508f,5dof,5dof,1,0.00075,,1129610771,,0.128442312559364,0.0952345048738506,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:36:41,388,10000,12,ff65e3f,451fb521,5dof,5dof,1,0.002866,,1129590341,,0.128442312559364,0.0952345048738506,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:36:26,388,10000,12,ff65e3f,57646c40,5dof,5dof,1,0.002091,,1129588481,,0.128442312559364,0.0952345048738506,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:36:24,388,10000,12,ff65e3f,7eb4f94f,5dof,5dof,1,0.004954,,1129587960,,0.128442312559364,0.0952345048738506,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:38:01,50000,10000,12,ff65e3f,cd32eb02,5dof,5dof,1,0.002828,,1129592793,,0.129705333360717,0.0968788370312985,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:40:41,50000,10000,12,ff65e3f,b02b60a2,5dof,5dof,1,0.003446,,1129606074,,0.129705333360717,0.0968788370312985,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:42:52,50000,10000,12,ff65e3f,37246b98,5dof,5dof,1,0.003601,,1129619546,,0.129705333360717,0.0968788370312985,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:42:23,50000,10000,12,ff65e3f,54c4c464,5dof,5dof,1,0.001014,,1129617453,,0.129705333360717,0.0968788370312985,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:45:20,50000,10000,12,ff65e3f,7832cb75,5dof,5dof,1,0.000832,,1129634597,,0.129705333360717,0.0968788370312985,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
