ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     intentionally selected 2,366 special boundaries 
c
c Ref: H.-K. Kim et al., Scripta Mater 64 (2011) 1152-1155
c
c Misorientation: three Euler angles (phi1,phi,phi2)
c                 see Fig. 1 in the paper
c Inclination   : polar (0~90) and azimuth (-180~180) angles
c                 upper half-sphere in Fig. 1 (see Fig. 4) 
c                 is considered, with +z direction polar 
c                 angle zero and +x direction (90,0) 
c GBE           : Gran boundary energy (mJ/m2)
ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
 Sigma   ph1     ph      ph2        polar           azimuth          GBE
  5      0.00    0.00   36.86    0.698633e+02    0.471679e+02    0.134868e+04
  5      0.00    0.00   36.86    0.648158e+02   -0.148283e+03    0.149515e+04
  5      0.00    0.00   36.86    0.698633e+02   -0.132832e+03    0.134868e+04
  5      0.00    0.00   36.86    0.824439e+02   -0.762263e+01    0.122283e+04
  5      0.00    0.00   36.86    0.698633e+02   -0.162670e+02    0.134995e+04
  5      0.00    0.00   36.86    0.824439e+02    0.172377e+03    0.122283e+04
  5      0.00    0.00   36.86    0.698633e+02    0.163733e+03    0.134995e+04
  5      0.00    0.00   36.86    0.824439e+02   -0.558123e+02    0.137943e+04
  5      0.00    0.00   36.86    0.824439e+02    0.124188e+03    0.137943e+04
  5      0.00    0.00   36.86    0.648158e+02   -0.317175e+02    0.137865e+04
  5      0.00    0.00   36.86    0.698633e+02   -0.471679e+02    0.139603e+04
  5      0.00    0.00   36.86    0.648158e+02    0.148283e+03    0.137865e+04
  5      0.00    0.00   36.86    0.698633e+02    0.132832e+03    0.139603e+04
  5      0.00    0.00   36.86    0.349134e+02    0.767175e+02    0.126504e+04
  5      0.00    0.00   36.86    0.349134e+02    0.103283e+03    0.130035e+04
  5      0.00    0.00   36.86    0.824439e+02    0.823774e+02    0.122283e+04
  5      0.00    0.00   36.86    0.747523e+02    0.690948e+02    0.127967e+04
  5      0.00    0.00   36.86    0.824439e+02    0.976226e+02    0.139427e+04
  5      0.00    0.00   36.86    0.747523e+02    0.110905e+03    0.135825e+04
  5      0.00    0.00   36.86    0.464867e+02    0.616600e+02    0.132483e+04
  5      0.00    0.00   36.86    0.615913e+02    0.610668e+02    0.130718e+04
  5      0.00    0.00   36.86    0.464867e+02    0.118340e+03    0.125491e+04
  5      0.00    0.00   36.86    0.615913e+02    0.118933e+03    0.145808e+04
  5      0.00    0.00   36.86    0.349134e+02   -0.103283e+03    0.126504e+04
  5      0.00    0.00   36.86    0.349134e+02   -0.767175e+02    0.130035e+04
  5      0.00    0.00   36.86    0.824439e+02   -0.976226e+02    0.122283e+04
  5      0.00    0.00   36.86    0.747523e+02   -0.110905e+03    0.127967e+04
  5      0.00    0.00   36.86    0.824439e+02   -0.823774e+02    0.139427e+04
  5      0.00    0.00   36.86    0.747523e+02   -0.690948e+02    0.135825e+04
  5      0.00    0.00   36.86    0.464867e+02   -0.118340e+03    0.132483e+04
  5      0.00    0.00   36.86    0.615913e+02   -0.118933e+03    0.130718e+04
  5      0.00    0.00   36.86    0.464867e+02   -0.616600e+02    0.125491e+04
  5      0.00    0.00   36.86    0.615913e+02   -0.610668e+02    0.145808e+04
  5      0.00    0.00   36.86    0.317175e+02    0.000000e+00    0.127341e+04
  5      0.00    0.00   36.86    0.317175e+02    0.180000e+03    0.127341e+04
  5      0.00    0.00   36.86    0.900000e+02    0.317175e+02    0.131717e+04
  5      0.00    0.00   36.86    0.900000e+02   -0.317175e+02    0.124731e+04
  5      0.00    0.00   36.86    0.582825e+02    0.900000e+02    0.132680e+04
  5      0.00    0.00   36.86    0.582825e+02   -0.900000e+02    0.132680e+04
  5      0.00    0.00   36.86    0.209052e+02    0.900000e+02    0.125181e+04
  5      0.00    0.00   36.86    0.209052e+02   -0.900000e+02    0.125181e+04
  5      0.00    0.00   36.86    0.690948e+02    0.000000e+00    0.132610e+04
  5      0.00    0.00   36.86    0.690948e+02    0.180000e+03    0.132610e+04
  5      0.00    0.00   36.86    0.900000e+02    0.690948e+02    0.108550e+04
  5      0.00    0.00   36.86    0.900000e+02   -0.690948e+02    0.135171e+04
  5      0.00    0.00   36.86    0.547356e+02    0.450000e+02    0.115930e+04
  5      0.00    0.00   36.86    0.547356e+02   -0.135000e+03    0.115930e+04
  5      0.00    0.00   36.86    0.547356e+02   -0.450000e+02    0.115930e+04
  5      0.00    0.00   36.86    0.547356e+02    0.135000e+03    0.115930e+04
  5      0.00    0.00   36.86    0.100000e-05    0.000000e+00    0.133088e+04
  5      0.00    0.00   36.86    0.900000e+02    0.000000e+00    0.114396e+04
  5      0.00    0.00   36.86    0.900000e+02    0.900000e+02    0.114396e+04
  5      0.00    0.00   36.86    0.360000e+02    0.582825e+02    0.130239e+04
  5      0.00    0.00   36.86    0.360000e+02   -0.121717e+03    0.130239e+04
  5      0.00    0.00   36.86    0.360000e+02   -0.582825e+02    0.124541e+04
  5      0.00    0.00   36.86    0.360000e+02    0.121717e+03    0.124541e+04
  5      0.00    0.00   36.86    0.600000e+02    0.209052e+02    0.141024e+04
  5      0.00    0.00   36.86    0.600000e+02   -0.159095e+03    0.141024e+04
  5      0.00    0.00   36.86    0.600000e+02   -0.209052e+02    0.141601e+04
  5      0.00    0.00   36.86    0.600000e+02    0.159095e+03    0.141601e+04
  5      0.00    0.00   36.86    0.720000e+02    0.582825e+02    0.131977e+04
  5      0.00    0.00   36.86    0.720000e+02   -0.121717e+03    0.131977e+04
  5      0.00    0.00   36.86    0.720000e+02   -0.582825e+02    0.131998e+04
  5      0.00    0.00   36.86    0.720000e+02    0.121717e+03    0.131998e+04
  7     26.56   73.40   63.44    0.107173e+02    0.450000e+02    0.133708e+04
  7     26.56   73.40   63.44    0.256722e+02    0.526226e+02    0.129416e+04
  7     26.56   73.40   63.44    0.107173e+02   -0.450000e+02    0.129613e+04
  7     26.56   73.40   63.44    0.256722e+02   -0.526226e+02    0.132547e+04
  7     26.56   73.40   63.44    0.561496e+02    0.911025e+01    0.133370e+04
  7     26.56   73.40   63.44    0.561496e+02   -0.911025e+01    0.119032e+04
  7     26.56   73.40   63.44    0.396648e+02    0.418103e+02    0.132378e+04
  7     26.56   73.40   63.44    0.503352e+02    0.265651e+02    0.132920e+04
  7     26.56   73.40   63.44    0.396648e+02   -0.418103e+02    0.123873e+04
  7     26.56   73.40   63.44    0.503352e+02   -0.265651e+02    0.125181e+04
  7     26.56   73.40   63.44    0.107173e+02   -0.135000e+03    0.129838e+04
  7     26.56   73.40   63.44    0.256722e+02   -0.127377e+03    0.127868e+04
  7     26.56   73.40   63.44    0.107173e+02    0.135000e+03    0.134235e+04
  7     26.56   73.40   63.44    0.256722e+02    0.127377e+03    0.137549e+04
  7     26.56   73.40   63.44    0.561496e+02   -0.170890e+03    0.127890e+04
  7     26.56   73.40   63.44    0.561496e+02    0.170890e+03    0.134756e+04
  7     26.56   73.40   63.44    0.396648e+02   -0.138190e+03    0.128030e+04
  7     26.56   73.40   63.44    0.503352e+02   -0.153435e+03    0.130267e+04
  7     26.56   73.40   63.44    0.396648e+02    0.138190e+03    0.138702e+04
  7     26.56   73.40   63.44    0.503352e+02    0.153435e+03    0.134488e+04
  7     26.56   73.40   63.44    0.824439e+02    0.762263e+01    0.134235e+04
  7     26.56   73.40   63.44    0.698633e+02    0.162670e+02    0.137549e+04
  7     26.56   73.40   63.44    0.824439e+02   -0.172377e+03    0.130070e+04
  7     26.56   73.40   63.44    0.698633e+02   -0.163733e+03    0.127868e+04
  7     26.56   73.40   63.44    0.824439e+02    0.558123e+02    0.134756e+04
  7     26.56   73.40   63.44    0.824439e+02   -0.124188e+03    0.127890e+04
