ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     intentionally selected 2,366 special boundaries 
c
c Ref: H.-K. Kim et al., Scripta Mater 64 (2011) 1152-1155
c
c Misorientation: three Euler angles (phi1,phi,phi2)
c                 see Fig. 1 in the paper
c Inclination   : polar (0~90) and azimuth (-180~180) angles
c                 upper half-sphere in Fig. 1 (see Fig. 4) 
c                 is considered, with +z direction polar 
c                 angle zero and +x direction (90,0) 
c GBE           : Gran boundary energy (mJ/m2)
ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
 Sigma   ph1     ph      ph2        polar           azimuth          GBE
  5      0.00    0.00   36.86    0.561496D+02    0.911025D+01    0.136078D+04
  5      0.00    0.00   36.86    0.561496D+02   -0.911025D+01    0.124928D+04
  5      0.00    0.00   36.86    0.396648D+02    0.418103D+02    0.131344D+04
  5      0.00    0.00   36.86    0.503352D+02    0.265651D+02    0.131182D+04
  5      0.00    0.00   36.86    0.396648D+02   -0.418103D+02    0.129726D+04
  5      0.00    0.00   36.86    0.503352D+02   -0.265651D+02    0.128291D+04
  5      0.00    0.00   36.86    0.107173D+02   -0.135000D+03    0.129972D+04
  5      0.00    0.00   36.86    0.256722D+02   -0.127377D+03    0.123493D+04
  5      0.00    0.00   36.86    0.107173D+02    0.135000D+03    0.129972D+04
  5      0.00    0.00   36.86    0.256722D+02    0.127377D+03    0.119117D+04
  5      0.00    0.00   36.86    0.561496D+02   -0.170890D+03    0.136078D+04
  5      0.00    0.00   36.86    0.561496D+02    0.170890D+03    0.124928D+04
  5      0.00    0.00   36.86    0.396648D+02   -0.138190D+03    0.131344D+04
  5      0.00    0.00   36.86    0.503352D+02   -0.153435D+03    0.131182D+04
  5      0.00    0.00   36.86    0.396648D+02    0.138190D+03    0.129726D+04
  5      0.00    0.00   36.86    0.503352D+02    0.153435D+03    0.128291D+04
  5      0.00    0.00   36.86    0.824439D+02    0.762263D+01    0.139427D+04
  5      0.00    0.00   36.86    0.698633D+02    0.162670D+02    0.141369D+04
  5      0.00    0.00   36.86    0.824439D+02   -0.172377D+03    0.139427D+04
  5      0.00    0.00   36.86    0.698633D+02   -0.163733D+03    0.141369D+04
  5      0.00    0.00   36.86    0.824439D+02    0.558123D+02    0.127664D+04
  5      0.00    0.00   36.86    0.824439D+02   -0.124188D+03    0.127664D+04
  5      0.00    0.00   36.86    0.648158D+02    0.317175D+02    0.149515D+04
  5      0.00    0.00   36.86    0.698633D+02    0.471679D+02    0.134868D+04
  5      0.00    0.00   36.86    0.648158D+02   -0.148283D+03    0.149515D+04
  5      0.00    0.00   36.86    0.698633D+02   -0.132832D+03    0.134868D+04
  5      0.00    0.00   36.86    0.824439D+02   -0.762263D+01    0.122283D+04
  5      0.00    0.00   36.86    0.698633D+02   -0.162670D+02    0.134995D+04
  5      0.00    0.00   36.86    0.824439D+02    0.172377D+03    0.122283D+04
  5      0.00    0.00   36.86    0.698633D+02    0.163733D+03    0.134995D+04
  5      0.00    0.00   36.86    0.824439D+02   -0.558123D+02    0.137943D+04
  5      0.00    0.00   36.86    0.824439D+02    0.124188D+03    0.137943D+04
  5      0.00    0.00   36.86    0.648158D+02   -0.317175D+02    0.137865D+04
  5      0.00    0.00   36.86    0.698633D+02   -0.471679D+02    0.139603D+04
  5      0.00    0.00   36.86    0.648158D+02    0.148283D+03    0.137865D+04
  5      0.00    0.00   36.86    0.698633D+02    0.132832D+03    0.139603D+04
  5      0.00    0.00   36.86    0.349134D+02    0.767175D+02    0.126504D+04
  5      0.00    0.00   36.86    0.349134D+02    0.103283D+03    0.130035D+04
  5      0.00    0.00   36.86    0.824439D+02    0.823774D+02    0.122283D+04
  5      0.00    0.00   36.86    0.747523D+02    0.690948D+02    0.127967D+04
  5      0.00    0.00   36.86    0.824439D+02    0.976226D+02    0.139427D+04
  5      0.00    0.00   36.86    0.747523D+02    0.110905D+03    0.135825D+04
  5      0.00    0.00   36.86    0.464867D+02    0.616600D+02    0.132483D+04
  5      0.00    0.00   36.86    0.615913D+02    0.610668D+02    0.130718D+04
  5      0.00    0.00   36.86    0.464867D+02    0.118340D+03    0.125491D+04
  5      0.00    0.00   36.86    0.615913D+02    0.118933D+03    0.145808D+04
  5      0.00    0.00   36.86    0.349134D+02   -0.103283D+03    0.126504D+04
  5      0.00    0.00   36.86    0.349134D+02   -0.767175D+02    0.130035D+04
  5      0.00    0.00   36.86    0.824439D+02   -0.976226D+02    0.122283D+04
  5      0.00    0.00   36.86    0.747523D+02   -0.110905D+03    0.127967D+04
  5      0.00    0.00   36.86    0.824439D+02   -0.823774D+02    0.139427D+04
  5      0.00    0.00   36.86    0.747523D+02   -0.690948D+02    0.135825D+04
  5      0.00    0.00   36.86    0.464867D+02   -0.118340D+03    0.132483D+04
  5      0.00    0.00   36.86    0.615913D+02   -0.118933D+03    0.130718D+04
  5      0.00    0.00   36.86    0.464867D+02   -0.616600D+02    0.125491D+04
  5      0.00    0.00   36.86    0.615913D+02   -0.610668D+02    0.145808D+04
  5      0.00    0.00   36.86    0.317175D+02    0.000000D+00    0.127341D+04
  5      0.00    0.00   36.86    0.317175D+02    0.180000D+03    0.127341D+04
  5      0.00    0.00   36.86    0.900000D+02    0.317175D+02    0.131717D+04
  5      0.00    0.00   36.86    0.900000D+02   -0.317175D+02    0.124731D+04
  5      0.00    0.00   36.86    0.582825D+02    0.900000D+02    0.132680D+04
  5      0.00    0.00   36.86    0.582825D+02   -0.900000D+02    0.132680D+04
  5      0.00    0.00   36.86    0.209052D+02    0.900000D+02    0.125181D+04
  5      0.00    0.00   36.86    0.209052D+02   -0.900000D+02    0.125181D+04
  5      0.00    0.00   36.86    0.690948D+02    0.000000D+00    0.132610D+04
  5      0.00    0.00   36.86    0.690948D+02    0.180000D+03    0.132610D+04
  5      0.00    0.00   36.86    0.900000D+02    0.690948D+02    0.108550D+04
  5      0.00    0.00   36.86    0.900000D+02   -0.690948D+02    0.135171D+04
  5      0.00    0.00   36.86    0.547356D+02    0.450000D+02    0.115930D+04
  5      0.00    0.00   36.86    0.547356D+02   -0.135000D+03    0.115930D+04
  5      0.00    0.00   36.86    0.547356D+02   -0.450000D+02    0.115930D+04
  5      0.00    0.00   36.86    0.547356D+02    0.135000D+03    0.115930D+04
  5      0.00    0.00   36.86    0.100000D-05    0.000000D+00    0.133088D+04
  5      0.00    0.00   36.86    0.900000D+02    0.000000D+00    0.114396D+04
  5      0.00    0.00   36.86    0.900000D+02    0.900000D+02    0.114396D+04
  5      0.00    0.00   36.86    0.360000D+02    0.582825D+02    0.130239D+04
  5      0.00    0.00   36.86    0.360000D+02   -0.121717D+03    0.130239D+04
  5      0.00    0.00   36.86    0.360000D+02   -0.582825D+02    0.124541D+04
  5      0.00    0.00   36.86    0.360000D+02    0.121717D+03    0.124541D+04
  5      0.00    0.00   36.86    0.600000D+02    0.209052D+02    0.141024D+04
  5      0.00    0.00   36.86    0.600000D+02   -0.159095D+03    0.141024D+04
  5      0.00    0.00   36.86    0.600000D+02   -0.209052D+02    0.141601D+04
  5      0.00    0.00   36.86    0.600000D+02    0.159095D+03    0.141601D+04
  5      0.00    0.00   36.86    0.720000D+02    0.582825D+02    0.131977D+04
  5      0.00    0.00   36.86    0.720000D+02   -0.121717D+03    0.131977D+04
  5      0.00    0.00   36.86    0.720000D+02   -0.582825D+02    0.131998D+04
  5      0.00    0.00   36.86    0.720000D+02    0.121717D+03    0.131998D+04
  7     26.56   73.40   63.44    0.107173D+02    0.450000D+02    0.133708D+04
  7     26.56   73.40   63.44    0.256722D+02    0.526226D+02    0.129416D+04
  7     26.56   73.40   63.44    0.107173D+02   -0.450000D+02    0.129613D+04
  7     26.56   73.40   63.44    0.256722D+02   -0.526226D+02    0.132547D+04
  7     26.56   73.40   63.44    0.561496D+02    0.911025D+01    0.133370D+04
  7     26.56   73.40   63.44    0.561496D+02   -0.911025D+01    0.119032D+04
  7     26.56   73.40   63.44    0.396648D+02    0.418103D+02    0.132378D+04
  7     26.56   73.40   63.44    0.503352D+02    0.265651D+02    0.132920D+04
  7     26.56   73.40   63.44    0.396648D+02   -0.418103D+02    0.123873D+04
  7     26.56   73.40   63.44    0.503352D+02   -0.265651D+02    0.125181D+04
  7     26.56   73.40   63.44    0.107173D+02   -0.135000D+03    0.129838D+04
  7     26.56   73.40   63.44    0.256722D+02   -0.127377D+03    0.127868D+04
  7     26.56   73.40   63.44    0.107173D+02    0.135000D+03    0.134235D+04
  7     26.56   73.40   63.44    0.256722D+02    0.127377D+03    0.137549D+04
  7     26.56   73.40   63.44    0.561496D+02   -0.170890D+03    0.127890D+04
  7     26.56   73.40   63.44    0.561496D+02    0.170890D+03    0.134756D+04
  7     26.56   73.40   63.44    0.396648D+02   -0.138190D+03    0.128030D+04
  7     26.56   73.40   63.44    0.503352D+02   -0.153435D+03    0.130267D+04
  7     26.56   73.40   63.44    0.396648D+02    0.138190D+03    0.138702D+04
  7     26.56   73.40   63.44    0.503352D+02    0.153435D+03    0.134488D+04
  7     26.56   73.40   63.44    0.824439D+02    0.762263D+01    0.134235D+04
  7     26.56   73.40   63.44    0.698633D+02    0.162670D+02    0.137549D+04
  7     26.56   73.40   63.44    0.824439D+02   -0.172377D+03    0.130070D+04
  7     26.56   73.40   63.44    0.698633D+02   -0.163733D+03    0.127868D+04
  7     26.56   73.40   63.44    0.824439D+02    0.558123D+02    0.134756D+04
  7     26.56   73.40   63.44    0.824439D+02   -0.124188D+03    0.127890D+04
  7     26.56   73.40   63.44    0.648158D+02    0.317175D+02    0.138709D+04
  7     26.56   73.40   63.44    0.698633D+02    0.471679D+02    0.134453D+04
  7     26.56   73.40   63.44    0.648158D+02   -0.148283D+03    0.128037D+04
  7     26.56   73.40   63.44    0.698633D+02   -0.132832D+03    0.130267D+04
  7     26.56   73.40   63.44    0.824439D+02   -0.762263D+01    0.133708D+04
