GB_index,Sigma,Misorientation_Index,L11,L12,L13,R11,R12,R13,L21,L22,L23,R21,R22,R23,L31,L32,L33,R31,R32,R33,t1,t2,t3,cos,disorientation,h1,k1,l1,h2,k2,l2,ytilt,ztilt,DSC11,DSC12,DSC13,DSC21,DSC22,DSC23,DSC31,DSC32,DSC33,CSL11,CSL12,CSL13,CSL21,CSL22,CSL23,CSL31,CSL32
32,7,8,2,2,2,2,2,2,3,-2,-1,-3,1,2,1,4,-5,1,-5,4,1,1,1,0.785714286,38.2132,2,2,2,2,2,2,0,0,0.142857143,0.571428571,1.285714286,-0.714285714,0.142857143,0.571428571,1.142857143,-0.428571429,-0.714285714,2,2,2,-4,-9,-1,-1,-5
33,11,9,6,2,2,6,2,2,0,1,-1,0,-1,1,-2,3,3,2,-3,-3,1,1,0,0.636363636,50.4788,6,2,2,6,2,2,1,0,1.090909091,-0.636363636,-0.636363636,-0.818181818,0.727272727,1.727272727,1,-1,-2,6,2,2,13,8,-3,0,1
34,11,9,3,3,2,3,3,2,1,-1,0,-1,1,0,2,2,-6,-2,-2,6,1,1,0,0.636363636,50.4788,3,3,2,3,3,2,1,0,-0.727272727,0.272727273,1.181818182,-1.727272727,0.272727273,2.181818182,5,-1,-6,3,3,2,-4,-15,1,-1,-2
35,11,9,1,1,0,1,1,0,3,-3,2,3,-3,-2,2,-2,-6,-2,2,-6,1,1,0,0.636363636,50.4788,1,1,0,1,1,0,0,0,0.363636364,-1.363636364,-0.090909091,1,-1,0,-1.727272727,1.727272727,0.181818182,-1,-1,0,-4,15,1,-1,2
36,25,10,7,1,0,7,1,0,0,0,2,0,0,-2,1,-7,0,-1,7,0,1,0,0,0.96,16.2602,7,1,0,7,1,0,1,0,0.28,-0.96,-1,-0.24,1.68,2,1,-7,-8,7,1,0,24,7,-25,24,7
37,5,1,7,1,0,1,1,0,0,0,2,0,0,2,1,-7,0,5,-5,0,1,0,0,0.8,36.8699,7,1,0,1,1,0,1,0,-0.6,-0.8,-1,0.6,-0.2,0,-1.4,-0.2,0,0,0,-2,4,-3,5,1,-2
38,15,4,7,1,0,4,1,1,0,0,6,2,-4,-4,1,-7,0,0,5,-5,2,1,0,0.666666667,48.1897,7,1,0,4,1,1,0,0,-0.466666667,-0.066666667,1.333333333,-0.333333333,-0.333333333,2.666666667,0.6,0.8,-5,-14,-2,-2,-34,-37,-25,-33,-34
39,25,10,2,0,0,2,0,0,0,7,1,0,7,-1,0,-1,7,0,1,7,1,0,0,0.96,16.2602,2,0,0,2,0,0,0,0,1,0.96,0.28,0,0.92,-0.44,0,-1.24,0.68,2,0,0,25,-7,24,19,-6
40,13,3,6,4,0,6,4,0,0,0,2,0,0,-2,4,-6,0,-4,6,0,1,0,0,0.923076923,22.6199,6,4,0,6,4,0,1,0,-0.538461538,1.307692308,0,2,-3,-1,-0.307692308,0.461538462,0,6,4,0,5,12,-13,1,5
41,29,11,7,3,0,7,3,0,0,0,2,0,0,-2,3,-7,0,-3,7,0,1,0,0,0.724137931,43.6028,7,3,0,7,3,0,1,0,-0.75862069,2.103448276,1,5.379310345,-12.55172414,-6,-9,21,10,7,3,0,20,21,-29,9,8
42,29,11,2,0,0,2,0,0,0,7,3,0,7,-3,0,-3,7,0,3,7,1,0,0,0.724137931,43.6028,2,0,0,2,0,0,0,0,1,0.689655172,0.724137931,0,0.827586207,0.068965517,0,-1.413793103,-0.034482759,2,0,0,29,-21,20,18,-13
43,33,12,7,4,1,7,4,1,1,-2,1,-1,2,-1,2,-2,-6,-2,2,6,2,1,1,-0.454545455,117.036,7,4,1,7,4,1,1,0,-1.787878788,3.121212121,1.03030303,16.6969697,-27.03030303,-8.757575758,-21,34,11,7,4,1,23,32,-25,14,21
44,11,9,7,4,1,7,4,-1,1,-2,1,1,-2,-1,2,-2,-6,-2,2,-6,1,1,0,0.636363636,50.4788,7,4,1,7,4,1,0,0,0.363636364,-1.363636364,-0.090909091,1,-1,0,-1.727272727,1.727272727,0.181818182,-1,-1,0,-4,15,1,-1,2
45,3,2,7,4,1,7,4,-1,1,-2,1,-1,2,1,2,-2,-6,2,-2,6,1,1,0,0.333333333,70.5288,7,4,1,7,4,1,0,0,1,-1,0,0.333333333,-0.666666667,0.333333333,1.666666667,-3.333333333,-0.333333333,4,2,0,1,0,-1,-4,-1
46,33,12,6,2,2,6,2,2,1,-2,-1,1,-1,-2,1,4,-7,-1,7,-4,2,1,1,-0.454545455,117.036,6,2,2,6,2,2,1,0,-0.090909091,-1.363636364,-0.363636364,0.151515152,-0.393939394,-0.060606061,-0.333333333,0.666666667,0.333333333,-6,-2,-2,-28,-13,-35,-19,-9
47,3,2,6,2,2,6,2,2,1,-2,-1,-1,1,2,1,4,-7,1,-7,4,1,1,0,0.333333333,70.5288,6,2,2,6,2,2,0,0,1,-1,0,0.666666667,-2.333333333,0.333333333,0.333333333,-0.666666667,-0.333333333,6,2,2,4,1,-1,-1,0
48,33,12,2,1,1,2,1,1,2,-6,2,2,2,-6,4,-1,-7,-4,7,1,2,1,1,-0.454545455,117.036,2,1,1,2,1,1,0,0,0.333333333,-0.333333333,-1.333333333,2.242424242,-1.060606061,-3.424242424,-2.363636364,1.090909091,3.636363636,-2,-1,-1,-32,-25,23,-11,-8
49,11,9,2,1,1,2,1,1,2,-6,2,-2,-2,6,4,-1,-7,4,-7,-1,1,1,0,0.636363636,50.4788,2,1,1,2,1,1,0,0,1,0,-1,-0.363636364,0.090909091,0.636363636,2.363636364,-1.090909091,-3.636363636,2,1,1,4,-1,15,5,-1
50,17,13,6,4,4,6,4,4,0,1,-1,0,-1,1,-4,3,3,4,-3,-3,1,1,0,0.058823529,86.6277,6,4,4,6,4,4,1,0,-0.647058824,1.235294118,0.235294118,1.411764706,-2.058823529,-0.058823529,-4,6,0,6,4,4,-13,-20,-3,-13,-19
51,17,13,4,3,3,4,3,3,0,1,-1,0,-1,1,-6,4,4,6,-4,-4,1,1,0,0.058823529,86.6277,4,3,3,4,3,3,1,0,-0.764705882,1.176470588,0.176470588,4.588235294,-6.058823529,-0.058823529,-6,8,0,4,3,3,-11,-21,-4,-11,-20
52,17,5,8,2,0,8,2,0,0,0,2,0,0,-2,2,-8,0,-2,8,0,1,0,0,0.882352941,28.0725,8,2,0,8,2,0,1,0,0.470588235,-0.882352941,-1,-0.176470588,0.705882353,1,1,-4,-5,8,2,0,15,8,-17,11,7
53,17,13,1,1,0,1,1,0,3,-3,4,3,-3,-4,4,-4,-6,-4,4,-6,1,1,0,0.058823529,86.6277,1,1,0,1,1,0,0,0,0.235294118,-1.235294118,0.647058824,0.176470588,-0.176470588,0.235294118,-1.470588235,1.470588235,-1.294117647,-1,-1,0,-4,21,-11,-1,5
54,35,14,6,5,3,6,5,3,2,-3,1,-2,3,-1,2,0,-4,-2,0,4,2,1,0,-0.285714286,106.602,6,5,3,6,5,3,0,1,-0.828571429,1.142857143,0.085714286,3.942857143,-4.714285714,-0.028571429,-10,12,0,6,5,3,-19,-45,8,-15,-34
55,5,1,6,5,3,6,5,-3,2,-3,1,2,-3,-1,2,0,-4,-2,0,-4,1,0,0,0.8,36.8699,6,5,3,6,5,3,0,0,-0.6,-1,-0.8,0.8,0,0.4,-1.4,0,-0.2,0,-2,0,-1,0,7,-1,1
56,7,8,6,5,3,6,5,-3,2,-3,1,-2,3,1,2,0,-4,2,0,4,1,1,1,0.785714286,38.2132,6,5,3,6,5,3,0,0,-0.428571429,1.142857143,-0.714285714,0.285714286,-0.428571429,0.142857143,-3.428571429,5.142857143,-3.714285714,6,4,0,5,3,-8,3,2
