GB_index,Sigma,Misorientation_Index,L11,L12,L13,R11,R12,R13,L21,L22,L23,R21,R22,R23,L31,L32,L33,R31,R32,R33,t1,t2,t3,cos,disorientation,h1,k1,l1,h2,k2,l2,ytilt,ztilt,DSC11,DSC12,DSC13,DSC21,DSC22,DSC23,DSC31,DSC32,DSC33,CSL11,CSL12,CSL13,CSL21,CSL22,CSL23,CSL31,CSL32
182,315,40,10,6,2,10,6,2,5,-8,-1,5,-7,-4,1,2,-11,-1,5,-10,5,3,1,0.944444444,19.1881,10,6,2,10,6,2,0,0,-0.904761905,0.99047619,-0.447619048,-2.095238095,4.00952381,-1.552380952,2.555555556,-4.888888889,1.888888889,-10,-6,-2,-260,-79,-353,-77,-24
183,9,6,10,6,2,10,6,2,5,-8,-1,-5,7,4,1,2,-11,1,-5,10,1,1,0,0.777777778,38.9424,10,6,2,10,6,2,0,0,-0.333333333,1.333333333,-0.333333333,0.777777778,-1.444444444,0.444444444,-2.555555556,4.888888889,-1.888888889,10,6,2,8,7,-7,5,5
184,63,41,10,6,2,10,6,-2,5,-7,-4,5,-7,4,-1,5,-10,1,-5,-10,2,1,0,-0.984126984,169.778,10,6,2,10,6,2,0,0,0.238095238,-0.19047619,1.380952381,-0.19047619,0.952380952,-3.904761905,0.365079365,-1.825396825,7.650793651,5,1,0,8,-5,3,20,0
185,45,21,10,6,2,10,6,-2,5,-7,-4,-5,7,-4,-1,5,-10,-1,5,10,2,2,1,0.6,53.1301,10,6,2,10,6,2,0,0,-1,1.2,3.4,-10.11111111,14.15555556,38.08888889,10.77777778,-15.08888889,-40.62222222,-7,-5,0,0,-7,1,-11,-9
186,15,4,11,2,1,3,2,1,1,-8,5,3,0,-9,2,-6,-10,-6,10,-2,2,1,0,0.666666667,48.1897,11,2,1,3,2,1,0,0,-0.8,-0.6,1,-0.2,-0.4,1,0.066666667,0.466666667,-0.666666667,-6,-2,-2,-13,-16,-5,-4,-3
187,105,37,11,2,1,3,2,1,1,-8,5,-3,0,9,2,-6,-10,6,-10,2,2,1,1,-0.828571429,145.952,11,2,1,3,2,1,0,0,1.866666667,-1.933333333,4.333333333,-1.79047619,2.038095238,-4.380952381,4.828571429,-5.485714286,11.85714286,7,4,-1,27,-11,40,11,-8
188,21,20,11,2,1,3,2,-1,1,-8,5,3,0,9,2,-6,-10,6,-10,-2,2,1,0,0.523809524,58.4119,11,2,1,3,2,1,0,0,-0.19047619,0.238095238,-1.380952381,0.380952381,-0.476190476,0.761904762,-0.238095238,0.047619048,-0.476190476,4,0,-2,4,-5,29,1,-3
189,3,2,11,2,1,3,2,-1,1,-8,5,-3,0,-9,2,-6,-10,-6,10,2,1,1,0,0.333333333,70.5288,11,2,1,3,2,1,0,0,-0.333333333,-0.333333333,1.333333333,0,0,2,-0.333333333,0.666666667,-3.666666667,-4,-2,0,-1,-4,1,-2,-3
190,63,39,11,2,1,11,2,1,1,-8,5,-1,8,-5,2,-6,-10,-2,6,10,2,1,0,0.920634921,22.9809,11,2,1,11,2,1,0,0,-0.825396825,3.031746032,4.015873016,-0.365079365,1.206349206,1.603174603,3,-10,-13,11,2,1,-4,-9,-1,-12,4
191,35,36,11,2,1,11,2,-1,1,-8,5,1,-8,-5,2,-6,-10,-2,6,-10,2,1,1,0.828571429,34.0477,11,2,1,11,2,1,0,0,0.114285714,-1.342857143,0.428571429,0.342857143,-1.028571429,0.285714286,-1.571428571,4.714285714,-1.142857143,-3,-1,0,-23,-36,-25,-9,-13
192,45,22,11,2,1,11,2,-1,1,-8,5,-1,8,5,2,-6,-10,2,-6,10,2,2,1,-0.6,126.87,11,2,1,11,2,1,0,0,0.288888889,-1.311111111,0.444444444,-0.711111111,5.688888889,-1.555555556,1.444444444,-11.55555556,3.222222222,16,2,0,49,-32,-25,30,-25
193,9,6,11,2,1,10,5,1,1,-8,5,4,-7,-5,2,-6,-10,-2,6,-10,1,1,0,0.777777778,38.9424,11,2,1,10,5,1,0,0,-0.333333333,-1.333333333,0.333333333,0.111111111,-0.888888889,0.555555556,-0.222222222,0.777777778,-0.111111111,-6,-2,-2,-7,-7,-8,-6,-5
194,7,8,11,2,1,10,5,1,1,-8,5,-4,7,5,2,-6,-10,2,-6,10,1,1,1,0.785714286,38.2132,11,2,1,10,5,1,0,0,0.714285714,-1.142857143,0.428571429,0.142857143,-0.428571429,0.285714286,1.571428571,-4.714285714,1.142857143,3,1,0,8,-3,-5,1,-1
195,315,40,11,2,1,10,5,-1,1,-8,5,4,-7,5,2,-6,-10,2,-6,-10,5,3,1,0.944444444,19.1881,11,2,1,10,5,1,0,1,-1.219047619,-0.676190476,-0.238095238,0.479365079,0.450793651,-0.174603175,-0.555555556,-0.555555556,0.222222222,2,-6,-10,-31,-292,-335,-21,-187
196,5,1,11,2,1,10,5,-1,1,-8,5,-4,7,-5,2,-6,-10,-2,6,10,1,0,0,0.8,36.8699,11,2,1,10,5,1,0,0,0.6,-0.8,-1,-0.4,1.2,2,1,-3,-4,3,1,0,4,3,-5,1,2
197,15,4,10,5,1,3,2,1,4,-7,-5,3,0,-9,-2,6,-10,-6,10,-2,2,1,0,0.666666667,48.1897,10,5,1,3,2,1,0,0,-0.2,-1.4,0,0.2,-0.6,0,-0.866666667,2.266666667,0.333333333,-6,-2,-2,-4,-3,-5,-7,-4
198,105,38,10,5,1,3,2,1,4,-7,-5,-3,0,9,-2,6,-10,6,-10,2,2,1,1,0.542857143,57.1217,10,5,1,3,2,1,0,0,1.476190476,-2.761904762,2.047619048,-11.0952381,21.95238095,-15.80952381,25.45714286,-50.37142857,36.28571429,11,7,2,116,37,-85,95,30
199,21,20,10,5,1,3,2,-1,4,-7,-5,3,0,9,-2,6,-10,6,-10,-2,2,1,0,0.523809524,58.4119,10,5,1,3,2,1,0,0,0.80952381,-1.095238095,0.380952381,0.238095238,-0.380952381,0.523809524,0.380952381,-0.80952381,0.238095238,14,6,-2,2,-5,5,-9,-3
200,3,2,10,5,1,3,2,-1,4,-7,-5,-3,0,-9,-2,6,-10,-6,10,2,1,1,0,0.333333333,70.5288,10,5,1,3,2,1,0,0,0.333333333,-1.333333333,0.333333333,0.666666667,-0.666666667,0.666666667,-1.666666667,1.666666667,-0.666666667,-1,-1,0,-1,4,-1,0,-1
201,63,41,10,5,1,10,5,1,4,-7,-5,-4,7,5,-2,6,-10,2,-6,10,2,1,0,-0.984126984,169.778,10,5,1,10,5,1,0,0,1.158730159,-1.920634921,-0.984126984,-3.46031746,6.26984127,3.253968254,16,-29,-15,10,5,1,13,-88,-5,11,-84
202,35,36,10,5,1,10,5,-1,4,-7,-5,4,-7,5,-2,6,-10,2,-6,-10,2,1,1,0.828571429,34.0477,10,5,1,10,5,1,0,0,0.457142857,-0.371428571,1.285714286,-0.057142857,0.171428571,-0.285714286,0.714285714,-2.142857143,4.571428571,3,1,0,43,-24,5,21,-13
203,45,21,10,5,1,10,5,-1,4,-7,-5,-4,7,-5,-2,6,-10,-2,6,10,2,2,1,0.6,53.1301,10,5,1,10,5,1,0,0,-0.155555556,0.022222222,2.444444444,-0.177777778,0.311111111,10.22222222,0.444444444,-0.777777778,-26.55555556,-14,-8,0,-1,-7,0,-46,-27
204,35,36,8,5,1,8,5,-1,2,-1,-11,2,-1,11,-6,10,-2,6,-10,-2,2,1,1,0.828571429,34.0477,8,5,1,8,5,1,0,0,1.4,-2,-0.2,0.171428571,-0.285714286,0.057142857,1.971428571,-3.285714286,-0.342857143,5,3,0,23,20,-39,21,19
205,63,39,8,5,1,8,5,-1,2,-1,-11,-2,1,-11,-6,10,-2,-6,10,2,2,1,0,0.920634921,22.9809,8,5,1,8,5,1,0,0,-0.587301587,-0.206349206,-1.26984127,-0.19047619,0.095238095,-0.952380952,0.793650794,-0.396825397,3.634920635,-2,-4,0,37,13,80,19,6
206,315,40,8,5,1,7,5,4,2,-1,-11,5,1,-10,-6,10,-2,-6,10,-2,5,3,1,0.944444444,19.1881,8,5,1,7,5,4,0,1,0.99047619,0.904761905,-0.447619048,0.450793651,0.174603175,-0.479365079,-0.555555556,-0.222222222,0.555555556,-6,10,-2,-181,140,-17,-19,3
207,7,8,8,5,1,7,5,4,2,-1,-11,-5,-1,10,-6,10,-2,6,-10,2,1,1,1,0.785714286,38.2132,8,5,1,7,5,4,0,0,-0.571428571,1.285714286,0.142857143,1.571428571,-2.285714286,-0.142857143,-4,6,0,3,2,1,9,-1,-4,4,-1
208,21,20,8,5,1,3,1,0,2,-1,-11,3,-9,6,-6,10,-2,2,-6,-10,2,1,0,0.523809524,58.4119,8,5,1,3,1,0,0,0,-0.666666667,2.333333333,-0.333333333,-2,5,-1,2.238095238,-5.619047619,1.19047619,14,6,2,5,2,-5,-8,-3
209,105,37,8,5,1,3,1,0,2,-1,-11,-3,9,-6,-6,10,-2,-2,6,10,2,1,1,-0.828571429,145.952,8,5,1,3,1,0,0,0,2.476190476,-4.238095238,1.380952381,4.647619048,-7.523809524,2.438095238,-7.057142857,11.42857143,-3.685714286,-7,-4,1,13,-45,16,0,-13
210,35,36,7,5,4,7,5,-4,5,1,-10,5,1,10,-6,10,-2,6,-10,-2,2,1,1,0.828571429,34.0477,7,5,4,7,5,4,0,0,1.4,-2,-0.2,0.171428571,-0.285714286,0.057142857,1.971428571,-3.285714286,-0.342857143,5,3,0,23,20,-39,21,19
211,63,41,7,5,4,7,5,-4,5,1,-10,-5,-1,-10,-6,10,-2,-6,10,2,2,1,0,-0.984126984,169.778,7,5,4,7,5,4,0,0,-0.19047619,-0.238095238,1.380952381,-0.158730159,-0.031746032,2.317460317,0.079365079,0.015873016,-2.158730159,1,-5,0,-4,-5,29,-2,-9
212,21,20,7,5,4,3,1,0,5,1,-10,3,-9,-6,-6,10,-2,-2,6,-10,2,1,0,0.523809524,58.4119,7,5,4,3,1,0,0,0,-0.19047619,-0.238095238,1.380952381,0.523809524,0.904761905,-1.047619048,-0.904761905,-1.380952381,1.80952381,4,0,2,23,-8,17,21,-7
213,105,38,7,5,4,3,1,0,5,1,-10,-3,9,6,-6,10,-2,2,-6,10,2,1,1,0.542857143,57.1217,7,5,4,3,1,0,0,0,-1.361904762,1.047619048,3.323809524,-17.04761905,14.19047619,44.0952381,23.17142857,-19.28571429,-59.94285714,-11,-7,-2,-32,-145,1,-5,-17
214,73,42,11,5,0,11,5,0,0,0,2,0,0,-2,5,-11,0,-5,11,0,1,0,0,0.753424658,41.1121,11,5,0,11,5,0,1,0,-0.849315068,2.068493151,1,5.616438356,-12.35616438,-6,-15,33,16,11,5,0,48,55,-73,34,42
215,73,42,2,0,0,2,0,0,0,11,5,0,11,-5,0,-5,11,0,5,11,1,0,0,0.753424658,41.1121,2,0,0,2,0,0,0,0,1,0.657534247,0.753424658,0,0.520547945,0.054794521,0,-1.410958904,-0.095890411,2,0,0,73,-55,48,28,-21
216,37,15,12,2,0,12,2,0,0,0,2,0,0,-2,2,-12,0,-2,12,0,1,0,0,0.945945946,18.9246,12,2,0,12,2,0,1,0,0.324324324,-0.945945946,-1,-0.135135135,0.810810811,1,1,-6,-7,12,2,0,35,12,-37,29,11
217,77,43,12,3,1,12,3,1,2,-5,-9,-2,5,9,-2,10,-6,2,-10,6,3,1,0,0.87012987,29.5263,12,3,1,12,3,1,0,0,-0.844155844,3.038961039,2.012987013,0.571428571,-1.857142857,-1.285714286,-1.272727273,4.181818182,2.727272727,12,3,1,-31,-104,-9,-11,-32
218,35,36,12,3,1,12,3,-1,2,-5,-9,2,-5,9,-2,10,-6,2,-10,-6,2,1,1,0.828571429,34.0477,12,3,1,12,3,1,0,0,0.457142857,-1.285714286,0.371428571,-0.485714286,2.428571429,-0.457142857,1.514285714,-7.571428571,1.542857143,5,1,0,39,-20,-23,3,0
219,55,44,12,3,1,12,3,-1,2,-5,-9,-2,5,-9,-2,10,-6,-2,10,6,2,1,1,0.781818182,38.5727,12,3,1,12,3,1,0,0,-0.890909091,1.727272727,-1.490909091,-2.109090909,5.272727273,-4.509090909,5.127272727,-12.81818182,10.92727273,-10,-4,0,-3,-5,-4,32,11
220,7,8,12,3,1,9,8,3,2,-5,-9,7,-6,-5,-2,10,-6,-2,6,-10,1,1,1,0.785714286,38.2132,12,3,1,9,8,3,0,0,1.285714286,0.571428571,-0.142857143,-0.714285714,0.571428571,-0.142857143,1.142857143,-0.714285714,0.428571429,2,2,-2,8,-5,3,1,-2
221,11,9,12,3,1,9,8,3,2,-5,-9,-7,6,5,-2,10,-6,2,-6,10,1,1,0,0.636363636,50.4788,12,3,1,9,8,3,0,0,-1.272727273,1.181818182,1.727272727,-4.818181818,5.545454545,8.181818182,6.272727273,-7.181818182,-10.72727273,-8,-4,-2,-8,-13,3,-5,-6
222,5,1,12,3,1,9,8,-3,2,-5,-9,7,-6,5,-2,10,-6,2,-6,-10,1,0,0,0.8,36.8699,12,3,1,9,8,3,0,0,0.8,-1,-0.6,0,1,1,0.2,-2,-1.4,6,2,-2,3,-5,4,1,-4
223,385,45,12,3,1,9,8,-3,2,-5,-9,-7,6,-5,-2,10,-6,-2,6,10,5,3,1,0.590909091,53.7785,12,3,1,9,8,3,0,1,0.355844156,1.038961039,-6.387012987,10.71428571,28.42857143,-170.8571429,-11.21298701,-29.75324675,178.8155844,-32,-24,-6,-52,-475,-261,-13,-108
224,77,46,9,8,3,9,8,3,7,-6,-5,-7,6,5,-2,6,-10,2,-6,10,3,1,0,-0.168831169,99.7199,9,8,3,9,8,3,0,0,-0.883116883,1.103896104,0.038961039,5.961038961,-6.701298701,-0.012987013,-16,18,0,9,8,3,-31,-96,41,-3,-7
225,35,36,9,8,3,9,8,-3,7,-6,-5,7,-6,5,-2,6,-10,2,-6,-10,2,1,1,0.828571429,34.0477,9,8,3,9,8,3,0,0,0.457142857,-0.371428571,1.285714286,-0.057142857,0.171428571,-0.285714286,0.714285714,-2.142857143,4.571428571,3,1,0,43,-24,5,21,-13
226,55,47,9,8,3,9,8,-3,7,-6,-5,-7,6,-5,-2,6,-10,-2,6,10,2,1,1,-0.963636364,164.501,9,8,3,9,8,3,0,0,-0.654545455,0.418181818,1.181818182,-1.654545455,1.418181818,3.181818182,1.527272727,-1.309090909,-3.090909091,-12,-14,0,-29,72,5,-13,29
227,77,43,10,6,2,10,6,-2,5,-9,2,5,-9,-2,3,-1,-12,-3,1,-12,3,1,0,0.87012987,29.5263,10,6,2,10,6,2,0,0,-0.415584416,-0.194805195,-1.337662338,-0.545454545,0.181818182,-3.818181818,0.74025974,-0.246753247,5.038961039,-1,-3,0,32,15,103,29,13
228,55,44,10,6,2,10,6,-2,5,-9,2,-5,9,2,3,-1,-12,3,-1,12,2,1,1,0.781818182,38.5727,10,6,2,10,6,2,0,0,1.272727273,-2.090909091,-0.090909091,-4.090909091,7.363636364,0.363636364,16.45454545,-29.61818182,-1.418181818,9,5,0,40,27,-61,30,20
229,385,45,10,6,2,10,6,2,5,-9,2,5,-6,-7,3,-1,-12,-3,8,-9,5,3,1,0.590909091,53.7785,10,6,2,10,6,2,0,0,-0.571428571,0.657142857,-1.114285714,-0.532467532,1.644155844,-2.27012987,1.090909091,-3.363636364,4.636363636,-10,-6,-2,-205,-291,-412,-162,-229
230,11,9,10,6,2,10,6,2,5,-9,2,-5,6,7,3,-1,-12,3,-8,9,1,1,0,0.636363636,50.4788,10,6,2,10,6,2,0,0,0,1,-1,1,-3,4,-1.090909091,3.363636364,-4.636363636,10,6,2,13,3,-8,6,1
231,77,46,10,6,2,10,6,-2,5,-6,-7,5,-6,7,-3,8,-9,3,-8,-9,3,1,0,-0.168831169,99.7199,10,6,2,10,6,2,0,0,0.753246753,-1.675324675,3.25974026,-0.038961039,0.103896104,-0.116883117,1.012987013,-2.701298701,5.038961039,16,6,0,95,-48,-23,19,-7
232,55,47,10,6,2,10,6,-2,5,-6,-7,-5,6,-7,-3,8,-9,-3,8,9,2,1,1,-0.963636364,164.501,10,6,2,10,6,2,0,0,0,-0.2,-1.4,0.636363636,-0.763636364,-8.890909091,-1.090909091,1.309090909,15.52727273,-12,-10,0,5,-72,-29,1,-31
233,55,44,9,5,2,9,5,2,1,3,-12,-1,-3,12,-6,10,2,6,-10,-2,2,1,1,0.781818182,38.5727,9,5,2,9,5,2,0,0,-1.836363636,3.090909091,1.036363636,23.69090909,-37.72727273,-12.29090909,-27,43,14,9,5,2,4,5,-3,-11,1
234,35,36,9,5,2,9,5,-2,1,3,-12,1,3,12,-6,10,2,6,-10,2,2,1,1,0.828571429,34.0477,9,5,2,9,5,2,0,0,-1.057142857,1.428571429,1.685714286,-4.542857143,7.571428571,8.514285714,7.114285714,-11.85714286,-13.37142857,-5,-3,0,-11,-40,27,-7,-21
235,77,43,9,5,2,9,5,-2,1,3,-12,-1,-3,-12,-6,10,2,-6,10,-2,3,1,0,0.87012987,29.5263,9,5,2,9,5,2,0,0,0.194805195,-0.415584416,-1.337662338,0.220779221,0.662337662,1.350649351,-0.558441558,-1.675324675,-3.298701299,3,-1,0,64,-39,79,11,-7
236,11,9,9,5,2,7,6,5,1,3,-12,9,-8,-3,-6,10,2,2,6,-10,1,1,0,0.636363636,50.4788,9,5,2,7,6,5,0,0,-0.272727273,1.181818182,-0.727272727,-0.454545455,0.636363636,-0.545454545,1.545454545,-2.363636364,2.454545455,6,6,2,-15,-1,4,-13,-2
237,5,1,9,5,2,7,6,5,1,3,-12,-9,8,3,-6,10,2,-2,-6,10,1,0,0,0.8,36.8699,9,5,2,7,6,5,0,0,0.2,0,-1.4,-1.2,-1,3.4,-0.4,0,0.8,-2,-1,-1,-4,-5,3,-1,-1
238,385,45,9,5,2,7,6,-5,1,3,-12,9,-8,3,-6,10,2,-2,-6,-10,5,3,1,0.590909091,53.7785,9,5,2,7,6,5,0,1,-3.732467532,8.402597403,-1.21038961,-7.711688312,17.06493506,-2.45974026,11.93246753,-26.4025974,3.81038961,62,26,-14,-1383,3320,-2269,-745,1785
239,7,8,9,5,2,7,6,-5,1,3,-12,-9,8,-3,-6,10,2,2,6,10,1,1,1,0.785714286,38.2132,9,5,2,7,6,5,0,0,0.428571429,-0.714285714,-1.142857143,-0.285714286,0.142857143,2.428571429,-0.285714286,0.142857143,0.428571429,-2,-4,0,-3,5,8,-2,1
240,55,47,7,6,5,7,6,5,2,6,-10,-2,-6,10,-9,8,3,9,-8,-3,2,1,1,-0.963636364,164.501,7,6,5,7,6,5,0,0,-0.872727273,1.109090909,0.090909091,1.872727273,-2.109090909,-0.090909091,-2.4,2.8,0,7,6,5,106,83,5,88,69
241,77,46,7,6,5,7,6,-5,2,6,-10,2,6,10,-9,8,3,9,-8,3,3,1,0,-0.168831169,99.7199,7,6,5,7,6,5,0,0,-0.987012987,0.766233766,0.662337662,-10.63636364,9.454545455,7.545454545,15.8961039,-14.12987013,-11.2987013,-16,-18,0,-31,96,-41,-19,55
242,35,36,7,6,5,7,6,-5,2,6,-10,-2,-6,-10,-9,8,3,-9,8,-3,2,1,1,0.828571429,34.0477,7,6,5,7,6,5,0,0,0.457142857,0.371428571,-1.285714286,-0.114285714,-0.342857143,2.571428571,0.142857143,0.428571429,-3.714285714,3,-1,0,23,-36,25,9,-13
243,41,48,8,8,6,8,8,6,1,-1,0,-1,1,0,3,3,-8,-3,-3,8,1,1,0,0.56097561,55.8767,8,8,6,8,8,6,1,0,-0.804878049,0.195121951,1.146341463,-5.268292683,0.731707317,6.048780488,7,-1,-8,8,8,6,-15,-56,-1,-12,-37
244,41,48,8,3,3,8,3,3,0,1,-1,0,-1,1,-6,8,8,6,-8,-8,1,1,0,0.56097561,55.8767,8,3,3,8,3,3,1,0,1.195121951,-1.926829268,-0.926829268,-4.829268293,8.43902439,4.43902439,12,-21,-11,8,3,3,47,33,-8,0,1
245,41,19,10,8,0,10,8,0,0,0,2,0,0,-2,8,-10,0,-8,10,0,1,0,0,0.975609756,12.6804,10,8,0,10,8,0,1,0,-0.756097561,1.195121951,0,4,-5,-1,-0.195121951,0.243902439,0,10,8,0,9,40,-41,1,9
246,41,48,1,1,0,1,1,0,3,-3,8,3,-3,-8,8,-8,-6,-8,8,-6,1,1,0,0.56097561,55.8767,1,1,0,1,1,0,0,0,-0.195121951,-0.804878049,1.146341463,0.536585366,-0.536585366,2.097560976,-0.609756098,0.609756098,-2.292682927,-1,-1,0,8,33,-47,7,26
247,85,49,13,1,0,13,1,0,0,0,2,0,0,-2,1,-13,0,-1,13,0,1,0,0,0.988235294,8.79741,13,1,0,13,1,0,1,0,0.152941176,-0.988235294,-1,-0.141176471,1.835294118,2,1,-13,-14,13,1,0,84,13,-85,84,13
248,17,5,13,1,0,11,7,0,0,0,2,0,0,2,1,-13,0,7,-11,0,1,0,0,0.882352941,28.0725,13,1,0,11,7,0,1,0,-0.470588235,-0.882352941,-1,1.058823529,0.235294118,0,-1.352941176,-0.411764706,0,0,0,-2,15,-8,17,11,-7
249,5,1,13,1,0,11,7,0,0,0,2,0,0,-2,1,-13,0,-7,11,0,1,0,0,0.8,36.8699,13,1,0,11,7,0,1,0,0.6,-0.8,-1,-0.4,1.2,2,1,-3,-4,3,1,0,4,3,-5,1,2
250,85,50,11,7,0,11,7,0,0,0,2,0,0,-2,7,-11,0,-7,11,0,1,0,0,0.905882353,25.0576,11,7,0,11,7,0,1,0,-1.870588235,3.082352941,1,19.43529412,-30.54117647,-10,-35,55,18,11,7,0,36,77,-85,15,25
251,85,49,2,0,0,2,0,0,0,13,1,0,13,-1,0,-1,13,0,1,13,1,0,0,0.988235294,8.79741,2,0,0,2,0,0,0,0,1,0.988235294,0.152941176,0,0.976470588,-0.694117647,0,-1.141176471,0.835294118,2,0,0,85,-13,84,73,-12
252,85,50,2,0,0,2,0,0,0,11,7,0,11,-7,0,-7,11,0,7,11,1,0,0,0.905882353,25.0576,2,0,0,2,0,0,0,0,1,0.423529412,0.905882353,0,0.729411765,0.282352941,0,-1.329411765,-0.482352941,2,0,0,85,-77,36,48,-43
253,43,51,10,6,6,10,6,6,0,1,-1,0,-1,1,-6,5,5,6,-5,-5,1,1,0,0.162790698,80.6311,10,6,6,10,6,6,1,0,-0.534883721,1.279069767,0.279069767,0.627906977,-1.023255814,-0.023255814,-3,5,0,10,6,6,-37,-48,-5,-37,-47
254,43,51,6,5,5,6,5,5,0,1,-1,0,-1,1,-10,6,6,10,-6,-6,1,1,0,0.162790698,80.6311,6,5,5,6,5,5,1,0,-0.860465116,1.11627907,0.11627907,8.372093023,-10.02325581,-0.023255814,-10,12,0,6,5,5,83,62,19,40,30
255,43,51,1,1,0,1,1,0,5,-5,6,5,-5,-6,6,-6,-10,-6,6,-10,1,1,0,0.162790698,80.6311,1,1,0,1,1,0,0,0,0.279069767,-1.279069767,0.534883721,0.837209302,-0.837209302,0.604651163,-1.558139535,1.558139535,-1.069767442,-1,-1,0,-12,55,-23,-1,4
256,87,52,11,7,2,11,7,2,1,-1,-2,-1,1,2,-4,8,-6,4,-8,6,2,1,1,0.862068966,30.4503,11,7,2,11,7,2,1,0,2.126436782,-2.91954023,-0.977011494,-25.83908046,37.01149425,12.57471264,37,-53,-18,11,7,2,56,91,-61,47,78
257,29,53,11,7,2,11,7,-2,1,-1,-2,1,-1,2,-4,8,-6,4,-8,-6,2,1,0,-0.379310345,112.291,11,7,2,11,7,2,0,0,0.965517241,-0.931034483,0.448275862,-1.034482759,2.068965517,-0.551724138,1.620689655,-3.24137931,0.931034483,4,2,0,33,-8,-23,1,-1
258,3,2,11,7,2,11,7,-2,1,-1,-2,-1,1,-2,-4,8,-6,-4,8,6,1,1,0,0.333333333,70.5288,11,7,2,11,7,2,0,0,0.333333333,-1.333333333,0.333333333,0.666666667,-0.666666667,0.666666667,-1.666666667,1.666666667,-0.666666667,-1,-1,0,-1,4,-1,0,-1
259,29,53,8,6,4,8,6,4,1,-2,1,-1,2,-1,7,-2,-11,-7,2,11,2,1,0,-0.379310345,112.291,8,6,4,8,6,4,0,0,-0.724137931,1.206896552,0.137931034,4.931034483,-6.551724138,-0.034482759,-6,8,0,8,6,4,-19,-36,5,-16,-29
260,87,52,8,6,4,8,6,-4,1,-2,1,1,-2,-1,7,-2,-11,-7,2,-11,2,1,1,0.862068966,30.4503,8,6,4,8,6,4,1,0,-0.620689655,0.034482759,3.689655172,-3.459770115,0.988505747,23.43678161,4.988505747,-1.425287356,-33.83908046,-4,-14,0,-13,12,37,-5,-7
261,3,2,8,6,4,8,6,-4,1,-2,1,-1,2,1,7,-2,-11,7,-2,11,1,1,0,0.333333333,70.5288,8,6,4,8,6,4,0,0,1,-1,0,0.333333333,-0.666666667,0.333333333,1.666666667,-3.333333333,-0.333333333,4,2,0,1,0,-1,-4,-1
262,87,52,2,1,1,2,1,1,6,-8,-4,6,-4,-8,2,7,-11,-2,11,-7,2,1,1,0.862068966,30.4503,2,1,1,2,1,1,0,0,-0.701149425,1.045977011,-0.643678161,-0.252873563,1.114942529,-0.609195402,0.896551724,-3.862068966,2.068965517,-2,-1,-1,-8,-115,-43,-5,-83
263,29,53,2,1,1,2,1,1,6,-8,-4,-6,4,8,2,7,-11,2,-11,7,2,1,0,-0.379310345,112.291,2,1,1,2,1,1,0,0,-0.034482759,1.379310345,-0.310344828,0.137931034,-0.517241379,0.24137931,-0.896551724,3.862068966,-2.068965517,2,1,1,36,-19,5,31,-15
264,89,54,13,3,0,13,3,0,0,0,2,0,0,-2,3,-13,0,-3,13,0,1,0,0,0.898876404,25.9892,13,3,0,13,3,0,1,0,-0.853932584,4.033707865,3,8.123595506,-35.20224719,-26,-15,65,48,13,3,0,80,39,-89,31,14
265,89,54,2,0,0,2,0,0,0,13,3,0,13,-3,0,-3,13,0,3,13,1,0,0,0.898876404,25.9892,2,0,0,2,0,0,0,0,1,0.898876404,0.438202247,0,0.831460674,-0.269662921,0,-1.337078652,0.460674157,2,0,0,89,-39,80,56,-25
266,15,4,10,8,4,4,2,0,0,2,-4,2,-4,0,-4,4,2,0,0,-6,2,1,0,0.666666667,48.1897,10,8,4,4,2,0,1,0,0.666666667,-1.666666667,1.666666667,-0.333333333,1.133333333,-0.933333333,3,-10.6,9.2,8,4,2,20,1,-7,11,0
267,3,2,10,8,4,4,2,0,0,2,-4,-2,4,0,-4,4,2,0,0,6,1,1,0,0.333333333,70.5288,10,8,4,4,2,0,0,0,0.333333333,-1.333333333,0.333333333,0.666666667,-0.666666667,0.666666667,-1.666666667,1.666666667,-0.666666667,-1,-1,0,-1,4,-1,0,-1
268,45,23,10,8,4,10,8,4,0,2,-4,0,-2,4,-4,4,2,4,-4,-2,2,1,0,0.111111111,83.6206,10,8,4,10,8,4,1,0,-0.777777778,1.177777778,0.088888889,2.444444444,-3.044444444,-0.022222222,-8,10,0,10,8,4,-25,-56,17,-11,-23
269,9,6,10,8,4,10,8,-4,0,2,-4,0,2,4,-4,4,2,4,-4,2,1,1,0,0.777777778,38.9424,10,8,4,10,8,4,0,0,-0.444444444,-0.555555556,1.222222222,0,0,2,-0.111111111,0.111111111,-2.444444444,-1,-1,0,4,5,-11,3,2
270,5,1,10,8,4,10,8,-4,0,2,-4,0,-2,-4,-4,4,2,-4,4,-2,1,0,0,0.8,36.8699,10,8,4,10,8,4,0,0,1,0.6,0.8,0,0.8,0.4,0,-1.4,-0.2,2,0,0,5,-4,3,4,-3
271,9,6,10,8,4,4,2,0,4,-4,-2,2,-4,4,0,6,-12,4,-8,-10,1,1,0,0.777777778,38.9424,10,8,4,4,2,0,0,0,0.333333333,-0.333333333,1.333333333,0,1,-1,-0.111111111,-1.555555556,1.888888889,6,2,2,4,-1,1,-1,-3
